ai_consolidation,ai_governance,net,ai_net,work_to_kingdom_bleed
0.0,0.0,-0.06906894089687336,0.0,0.012677382143999999
0.0,0.0125,-0.06906337156591356,0.0,0.012677382143999999
0.0,0.025,-0.06905780223495377,0.0,0.012677382143999999
0.0,0.037500000000000006,-0.06905223290399397,0.0,0.012677382143999999
0.0,0.05,-0.06904666357303418,0.0,0.012677382143999999
0.0,0.0625,-0.06904109424207439,0.0,0.012677382143999999
0.0,0.07500000000000001,-0.06903552491111459,0.0,0.012677382143999999
0.0,0.08750000000000001,-0.06902995558015479,0.0,0.012677382143999999
0.0,0.1,-0.06902438624919499,0.0,0.012677382143999999
0.0,0.1125,-0.06901881691823519,0.0,0.012677382143999999
0.0,0.125,-0.0690132475872754,0.0,0.012677382143999999
0.0,0.1375,-0.0690076782563156,0.0,0.012677382143999999
0.0,0.15000000000000002,-0.0690021089253558,0.0,0.012677382143999999
0.0,0.1625,-0.06899653959439601,0.0,0.012677382143999999
0.0,0.17500000000000002,-0.06899097026343622,0.0,0.012677382143999999
0.0,0.1875,-0.06898540093247642,0.0,0.012677382143999999
0.0,0.2,-0.06897983160151662,0.0,0.012677382143999999
0.0,0.21250000000000002,-0.06897426227055682,0.0,0.012677382143999999
0.0,0.225,-0.06896869293959704,0.0,0.012677382143999999
0.0,0.23750000000000002,-0.06896312360863724,0.0,0.012677382143999999
0.0,0.25,-0.06895755427767744,0.0,0.012677382143999999
0.0,0.2625,-0.06895198494671764,0.0,0.012677382143999999
0.0,0.275,-0.06894641561575784,0.0,0.012677382143999999
0.0,0.28750000000000003,-0.06894084628479805,0.0,0.012677382143999999
0.0,0.30000000000000004,-0.06893527695383825,0.0,0.012677382143999999
0.0,0.3125,-0.06892970762287845,0.0,0.012677382143999999
0.0,0.325,-0.06892413829191867,0.0,0.012677382143999999
0.0,0.3375,-0.06891856896095887,0.0,0.012677382143999999
0.0,0.35000000000000003,-0.06891299962999907,0.0,0.012677382143999999
0.0,0.36250000000000004,-0.06890743029903927,0.0,0.012677382143999999
0.0,0.375,-0.06890186096807947,0.0,0.012677382143999999
0.0,0.3875,-0.06889629163711969,0.0,0.012677382143999999
0.0,0.4,-0.06889072230615989,0.0,0.012677382143999999
0.0,0.41250000000000003,-0.06888515297520009,0.0,0.012677382143999999
0.0,0.42500000000000004,-0.0688795836442403,0.0,0.012677382143999999
0.0,0.4375,-0.0688740143132805,0.0,0.012677382143999999
0.0,0.45,-0.0688684449823207,0.0,0.012677382143999999
0.0,0.4625,-0.0688628756513609,0.0,0.012677382143999999
0.0,0.47500000000000003,-0.0688573063204011,0.0,0.012677382143999999
0.0,0.48750000000000004,-0.0688517369894413,0.0,0.012677382143999999
0.0,0.5,-0.06884616765848152,0.0,0.012677382143999999
0.0,0.5125000000000001,-0.06884059832752172,0.0,0.012677382143999999
0.0,0.525,-0.06883502899656192,0.0,0.012677382143999999
0.0,0.5375,-0.06882945966560212,0.0,0.012677382143999999
0.0,0.55,-0.06882389033464233,0.0,0.012677382143999999
0.0,0.5625,-0.06881832100368254,0.0,0.012677382143999999
0.0,0.5750000000000001,-0.06881275167272274,0.0,0.012677382143999999
0.0,0.5875,-0.06880718234176295,0.0,0.012677382143999999
0.0,0.6000000000000001,-0.06880161301080315,0.0,0.012677382143999999
0.0,0.6125,-0.06879604367984335,0.0,0.012677382143999999
0.0,0.625,-0.06879047434888355,0.0,0.012677382143999999
0.0,0.6375000000000001,-0.06878490501792375,0.0,0.012677382143999999
0.0,0.65,-0.06877933568696395,0.0,0.012677382143999999
0.0,0.6625000000000001,-0.06877376635600416,0.0,0.012677382143999999
0.0,0.675,-0.06876819702504437,0.0,0.012677382143999999
0.0,0.6875,-0.06876262769408457,0.0,0.012677382143999999
0.0,0.7000000000000001,-0.06875705836312478,0.0,0.012677382143999999
0.0,0.7125,-0.06875148903216498,0.0,0.012677382143999999
0.0,0.7250000000000001,-0.06874591970120518,0.0,0.012677382143999999
