work_lawfulness,ai_governance,net,work_to_kingdom_bleed,kingdom_to_work_bleed,ai_net
0.0,0.0,-0.14007933665019037,0.019877356800000006,0.0005282459518472142,-0.0609137635347909
0.0,0.0125,-0.13962620872024578,0.019819122356250003,0.0005348490262453043,-0.06052547312299443
0.0,0.025,-0.13917308079030122,0.019760887912500004,0.0005414521006433945,-0.06013718271119796
0.0,0.037500000000000006,-0.13871995286035665,0.019702653468750005,0.0005480551750414848,-0.05974889229940149
0.0,0.05,-0.13826682493041212,0.019644419025000002,0.000554658249439575,-0.059360601887605016
0.0,0.0625,-0.13781369700046756,0.019586184581250003,0.0005612613238376651,-0.05897231147580856
0.0,0.07500000000000001,-0.137360569070523,0.019527950137500003,0.0005678643982357553,-0.05858402106401209
0.0,0.08750000000000001,-0.13690744114057846,0.019469715693750004,0.0005744674726338454,-0.058195730652215616
0.0,0.1,-0.13645431321063387,0.019411481250000005,0.0005810705470319356,-0.05780744024041913
0.0,0.1125,-0.1360011852806893,0.019353246806250002,0.0005876736214300259,-0.05741914982862266
0.0,0.125,-0.1355480573507448,0.019295012362500006,0.000594276695828116,-0.0570308594168262
0.0,0.1375,-0.1350949294208002,0.019236777918750003,0.0006008797702262062,-0.05664256900502973
0.0,0.15000000000000002,-0.13464180149085564,0.019178543475000004,0.0006074828446242963,-0.05625427859323326
0.0,0.1625,-0.13418867356091108,0.01912030903125,0.0006140859190223866,-0.05586598818143679
0.0,0.17500000000000002,-0.13373554563096654,0.019062074587500002,0.0006206889934204767,-0.05547769776964033
0.0,0.1875,-0.13328241770102198,0.019003840143750002,0.0006272920678185668,-0.055089407357843845
0.0,0.2,-0.13282928977107744,0.018945605700000003,0.0006338951422166571,-0.05470111694604739
0.0,0.21250000000000002,-0.13237616184113288,0.018887371256250004,0.0006404982166147472,-0.054312826534250916
0.0,0.225,-0.1319230339111883,0.018829136812500005,0.0006471012910128375,-0.053924536122454444
0.0,0.23750000000000002,-0.13146990598124372,0.018770902368750002,0.0006537043654109276,-0.05353624571065797
0.0,0.25,-0.1310167780512992,0.018712667925000006,0.0006603074398090177,-0.053147955298861516
0.0,0.2625,-0.1305636501213546,0.01865443348125,0.0006669105142071079,-0.05275966488706503
0.0,0.275,-0.13011052219141003,0.018596199037500004,0.000673513588605198,-0.05237137447526856
0.0,0.28750000000000003,-0.1296573942614655,0.018537964593750005,0.0006801166630032884,-0.0519830840634721
0.0,0.30000000000000004,-0.12920426633152093,0.018479730150000002,0.0006867197374013785,-0.05159479365167563
0.0,0.3125,-0.12875113840157637,0.018421495706250006,0.0006933228117994687,-0.05120650323987916
0.0,0.325,-0.1282980104716318,0.018363261262500003,0.0006999258861975588,-0.05081821282808269
